Question,Answer,Type,Options
"Select all words related to the concept of ""time"".","A,C",Multiple Choice (Multiple),"A. chronological, B. spatial, C. ephemeral, D. audio"
"Which of the following are antonyms of ""frequent""?","B,D",Multiple Choice (Multiple),"A. constant, B. sporadic, C. chronic, D. scarce"
"Select the words that correctly fill the blank: ""The instructions were ________, leaving no room for doubt.""","A,C",Multiple Choice (Multiple),"A. explicit, B. ambiguous, C. precise, D. vague"
"The word ""loquacious"" means very quiet and shy.",FALSE,True/False,"True, False"
"""Apathy"" means a lack of interest, enthusiasm, or concern.",TRUE,True/False,"True, False"
"The words ""empathy"" and ""sympathy"" mean exactly the same thing.",FALSE,True/False,"True, False"
"The suffix ""-phobia"" refers to an extreme or irrational fear of something.",TRUE,True/False,"True, False"
"""Obsolete"" describes something that is modern and cutting-edge.",FALSE,True/False,"True, False"
"To ""subsidize"" means to support financially.",TRUE,True/False,"True, False"
"An ""amateur"" is someone who does an activity as a professional career.",FALSE,True/False,"True, False"
"The word ""hazardous"" is a synonym for ""dangerous"".",TRUE,True/False,"True, False"
"""Meticulous"" means showing great attention to detail; very careful.",TRUE,True/False,"True, False"
"The verb ""excel"" means to be exceptionally good at something.",TRUE,True/False,"True, False"
"Write the noun form of the verb ""create"".",creation,Fill in the Blank,No options
"What is the antonym of ""clumsy""?",graceful,Fill in the Blank,No options
"Complete the sentence: ""A person who predicts the future is a ________.""",prophet,Fill in the Blank,No options
"Change the adjective ""happy"" into an adverb.",happily,Fill in the Blank,No options
"What word starting with 'C' means ""a state of total confusion and disorder""?",chaos,Fill in the Blank,No options
"Add a prefix to the word ""understand"" to mean ""to interpret incorrectly"".",misunderstand,Fill in the Blank,No options
"Fill in the blank: ""Water boils at 100 degrees ________.""",Celsius,Fill in the Blank,No options
"What is the synonym of ""fragile"" that starts with the letter 'B'?",brittle,Fill in the Blank,No options
"Complete the phrase: ""Prevention is better than ________.""",cure,Fill in the Blank,No options
"Write the adjective form of the noun ""mystery"".",mysterious,Fill in the Blank,No options
"What does the idiom ""bite the bullet"" mean?",To face a difficult situation with courage and get it over with.,Short Answer,No options
"Explain the difference between ""recipe"" and ""receipt"".","A ""recipe"" is a set of instructions for cooking, while a ""receipt"" is a written proof of payment.",Short Answer,No options
"What is the meaning of the word ""vulnerable""?",Susceptible to physical or emotional attack or harm.,Short Answer,No options
"Provide a synonym and an antonym for the word ""abundant"".",Synonym: plentiful; Antonym: scarce.,Short Answer,No options
"What field of study does an ""anthropologist"" work in?","The study of human societies, cultures, and their development.",Short Answer,No options
"Give an example sentence using the word ""procrastinate"".",I always procrastinate when it comes to doing my taxes.,Short Answer,No options
"What is the meaning of the root word ""chrono-""?","It means ""time"".",Short Answer,No options
"Explain the term ""bilingual"".",Fluent in speaking two different languages.,Short Answer,No options
"What is the noun form of the adjective ""brave""?",bravery,Short Answer,No options
"What does it mean if an event is ""inevitable""?",It is certain to happen and cannot be avoided.,Short Answer,No options
The doctor advised him to ________ from eating fast food.,A,Multiple Choice (Single),"A. refrain, B. retain, C. obtain, D. sustain"
Her voice was barely ________ above the loud noise of the traffic.,C,Multiple Choice (Single),"A. legible, B. visible, C. audible, D. credible"
The company hopes to ________ its sales by launching a new marketing campaign.,B,Multiple Choice (Single),"A. diminish, B. boost, C. mimic, D. fluctuate"
He is a ________ reader who devours three books a week.,D,Multiple Choice (Single),"A. reluctant, B. passive, C. casual, D. voracious"
The country's economy relies heavily on the ________ of oil.,A,Multiple Choice (Single),"A. export, B. tuition, C. deficit, D. census"
We need to find a ________ solution that satisfies both parties.,B,Multiple Choice (Single),"A. superficial, B. amicable, C. hostile, D. random"
The pollution levels in the river have reached a ________ state.,C,Multiple Choice (Single),"A. minor, B. festive, C. critical, D. pleasant"
"She gave a ________ summary of the project, keeping it short and clear.",D,Multiple Choice (Single),"A. tedious, B. redundant, C. vague, D. concise"
Winning the championship was a ________ milestone for the team.,A,Multiple Choice (Single),"A. monumental, B. trivial, C. versatile, D. skeletal"
The diamond's ________ made it incredibly valuable.,B,Multiple Choice (Single),"A. density, B. authenticity, C. humidity, D. toxicity"
"Which of the following words mean ""to happen at the same time""?","B,D",Multiple Choice (Multiple),"A. postdate, B. coincide, C. isolate, D. synchronize"
Select all words that describe bad weather.,"A,C,D",Multiple Choice (Multiple),"A. turbulent, B. serene, C. bleak, D. tempestuous"
Which of the following are types of emotions?,"A,B,C",Multiple Choice (Multiple),"A. euphoria, B. resentment, C. nostalgia, D. vertical"
"Select all words that can mean ""to praise someone"".","B,D",Multiple Choice (Multiple),"A. condemn, B. applaud, C. criticize, D. commend"
Which of the following adjectives are related to water or liquid?,"A,C",Multiple Choice (Multiple),"A. aquatic, B. arid, C. saturated, D. sterile"
"Choose the correct synonyms for ""obstacle"".","A,D",Multiple Choice (Multiple),"A. barrier, B. catalyst, C. asset, D. hurdle"
Which suffixes can be used to turn a verb into a noun representing a person?,"B,C,D",Multiple Choice (Multiple),"A. -ness, B. -er, C. -ist, D. -ant"
"Select all words that mean ""lasting for a very short time"".","A,B",Multiple Choice (Multiple),"A. transient, B. fleeting, C. perpetual, D. enduring"
Which of the following words describe food that tastes good?,"B,C",Multiple Choice (Multiple),"A. rancid, B. savory, C. delectable, D. bland"
"Select the words that mean ""to gather or collect over time"".","A,D",Multiple Choice (Multiple),"A. accumulate, B. squander, C. disperse, D. amass"
"""Optimistic"" means expecting the worst possible outcome.",FALSE,True/False,"True, False"
"A ""monopoly"" exists when a single company dominates an entire industry.",TRUE,True/False,"True, False"
"""Conscientious"" employees are usually careless and irresponsible.",FALSE,True/False,"True, False"
"The word ""lethal"" means sufficient to cause death.",TRUE,True/False,"True, False"
"To ""validate"" something means to prove that it is false or invalid.",FALSE,True/False,"True, False"
"""Sovereignty"" refers to supreme power or authority.",TRUE,True/False,"True, False"
"The adjective ""audacious"" means showing a willingness to take surprisingly bold risks.",TRUE,True/False,"True, False"
"""Pragmatic"" people deal with things sensibly and realistically based on practical considerations.",TRUE,True/False,"True, False"
"A ""paradox"" is a statement that is completely simple and easy to understand without contradictions.",FALSE,True/False,"True, False"
"The word ""juvenile"" relates to old age and senior citizens.",FALSE,True/False,"True, False"
"Write the opposite of the adjective ""voluntary"".",involuntary,Fill in the Blank,No options
"Fill in the blank: ""A person who travels into space is an ________.""",astronaut,Fill in the Blank,No options
"What is the noun form of the adjective ""pure""?",purity,Fill in the Blank,No options
"Complete the sentence: ""An architecture specialist who designs buildings is an ________.""",architect,Fill in the Blank,No options
"What word starting with 'N' means ""neither good nor bad; not taking sides in a conflict""?",neutral,Fill in the Blank,No options
"Write the synonym of ""imitate"" that starts with the letter 'M'.",mimic,Fill in the Blank,No options
"Fill in the blank: ""A book that contains facts and definitions arranged alphabetically is a ________.""",dictionary,Fill in the Blank,No options
"What is the antonym of ""artificial""?",natural,Fill in the Blank,No options
"Add a suffix to ""hope"" to mean ""having no hope"".",hopeless,Fill in the Blank,No options
"What term refers to ""the crime of stealing goods from a shop while pretending to be a customer""?",shoplifting,Fill in the Blank,No options
"What does the idiom ""break a leg"" mean?",A way to wish an actor or performer good luck before a show.,Short Answer,No options
"Explain the difference between ""desert"" (noun) and ""dessert"".","A ""desert"" is a dry, sandy region with little water, while a ""dessert"" is a sweet course eaten at the end of a meal.",Short Answer,No options
"What is the definition of ""ubiquitous""?","Present, appearing, or found everywhere.",Short Answer,No options
"Provide a synonym and an antonym for ""courageous"".",Synonym: brave; Antonym: cowardly.,Short Answer,No options
"What does a ""cardiologist"" specialize in?",The study and treatment of heart disorders.,Short Answer,No options
"Use the word ""simultaneous"" in a sentence.",There was a simultaneous broadcast of the game on TV and radio.,Short Answer,No options
"What does the prefix ""mis-"" generally mean?","Wrongly, badly, or incorrectly.",Short Answer,No options
"Explain the term ""anonymous"".",Made or done by a person whose name is not publicly known.,Short Answer,No options
"What is the verb form of the noun ""sympathy""?",sympathize,Short Answer,No options
"What does it mean if a liquid is ""potable""?",It is safe to drink.,Short Answer,No options
