Question,Answer,Type,Options
"Change the following sentence into the passive voice: ""Tom broke the window.""",The window was broken by Tom.,Short Answer,No options
"Explain the difference between ""few"" and ""a few"".","""Few"" implies a negative meaning (almost none), while ""a few"" implies a positive meaning (some). Both are used with plural countable nouns.",Short Answer,No options
"Rewrite the sentence using ""Too... to..."": ""He is so young that he cannot go to school.""",He is too young to go to school.,Short Answer,No options
"What is the plural form of the noun ""child""?",children,Short Answer,No options
"Combine these two sentences using a relative pronoun: ""I met a lady. She can speak five languages.""",I met a lady who can speak five languages.,Short Answer,No options
"Correct the error in this sentence: ""He don't know the answer.""",He doesn't know the answer.,Short Answer,No options
"Turn this direct speech into indirect speech: ""I am tired,"" said Mary.",Mary said that she was tired.,Short Answer,No options
"What is the comparative form of the adjective ""bad""?",worse,Short Answer,No options
"Rewrite the sentence starting with ""Not only"": ""He is talented and he is also hardworking.""","Not only is he talented, but he is also hardworking.",Short Answer,No options
Explain when we use the Present Perfect Tense.,"It is used for actions that happened at an unspecified time in the past, actions that started in the past and continue to the present, or past actions that have a result in the present.",Short Answer,No options
"She was tired, ________ she went to bed early.",A,Multiple Choice (Single),"A. so, B. but, C. because, D. or"
The children ________ playing in the garden right now.,B,Multiple Choice (Single),"A. is, B. are, C. was, D. were"
My father enjoys ________ newspapers in the morning.,C,Multiple Choice (Single),"A. read, B. to read, C. reading, D. reads"
This is the ________ expensive watch in the shop.,D,Multiple Choice (Single),"A. more, B. much, C. highly, D. most"
"If I ________ enough money, I would buy a sports car.",B,Multiple Choice (Single),"A. have, B. had, C. have had, D. will have"
You ________ smoke in the hospital. It is strictly forbidden.,A,Multiple Choice (Single),"A. mustn't, B. needn't, C. shouldn't, D. won't"
The flight was delayed ________ the heavy fog.,C,Multiple Choice (Single),"A. because, B. as, C. because of, D. since"
I didn't see ________ at the front desk. The office was empty.,B,Multiple Choice (Single),"A. someone, B. anyone, C. no one, D. everyone"
He ________ lunch when the phone rang.,D,Multiple Choice (Single),"A. eats, B. has eaten, C. ate, D. was eating"
The meeting has been put ________ until next week.,C,Multiple Choice (Single),"A. on, B. away, C. off, D. down"
"Select the correct sentences using ""wish"".","A,C",Multiple Choice (Multiple),"A. I wish I were taller., B. I wish I am taller., C. I wish I had studied harder yesterday., D. I wish I studied harder yesterday."
Which of the following words can be adverbs?,"A,B,C",Multiple Choice (Multiple),"A. happily, B. fast, C. well, D. friendly"
Choose the sentences that use correct punctuation.,"B,D",Multiple Choice (Multiple),"A. Although it rained but we went out., B. Although it rained, we went out., C. He likes apples, bananas, and oranges., D. He likes apples, bananas and oranges."
Which verbs are followed by a gerund (V-ing) instead of an infinitive?,"A,B,D",Multiple Choice (Multiple),"A. avoid, B. enjoy, C. decide, D. mind"
"Select all options that correctly complete: ""Neither of the plans ________ feasible.""","A,C",Multiple Choice (Multiple),"A. is, B. are, C. seems, D. seem"
Which of the following can indicate future time?,"A,B,C,D",Multiple Choice (Multiple),"A. will + verb, B. be going to + verb, C. present continuous, D. simple present"
Choose the correct passive forms.,"A,C",Multiple Choice (Multiple),"A. It is said that he is rich., B. It says that he is rich., C. He is said to be rich., D. He is saying to be rich."
Which of the following are reflexive pronouns?,"B,C",Multiple Choice (Multiple),"A. mine, B. myself, C. themselves, D. their"
Select the correct conditional sentences.,"B,D",Multiple Choice (Multiple),"A. If you heat ice, it melted., B. If you heat ice, it melts., C. If I will see him, I'll tell him., D. If I see him, I'll tell him."
Which of the following nouns have the same singular and plural form?,"A,C,D",Multiple Choice (Multiple),"A. sheep, B. child, C. deer, D. fish"
"""Although"" and ""but"" can be used in the same sentence together.",FALSE,True/False,"True, False"
"The past tense of ""cut"" is ""cutted"".",FALSE,True/False,"True, False"
"""Mice"" is the plural form of ""mouse"".",TRUE,True/False,"True, False"
An adjective usually modifies a verb.,FALSE,True/False,"True, False"
"""A pack of wolves"" uses the correct collective noun.",TRUE,True/False,"True, False"
Subordinating conjunctions connect two independent clauses.,FALSE,True/False,"True, False"
"""Luggage"" is a countable noun.",FALSE,True/False,"True, False"
"The sentence ""I have seen him yesterday"" is grammatically correct.",FALSE,True/False,"True, False"
"""None"" can take either a singular or a plural verb depending on the context.",TRUE,True/False,"True, False"
"""Each"" and ""every"" are always followed by plural nouns.",FALSE,True/False,"True, False"
"Fill in the blank with a preposition: ""He is good ________ playing basketball.""",at,Fill in the Blank,No options
"Write the past tense form of the verb ""bring"".",brought,Fill in the Blank,No options
"Complete the sentence with an article (a/an/the) or leave blank if none: ""He is ________ honest man.""",an,Fill in the Blank,No options
"Fill in the blank with ""do"" or ""make"": ""Did you ________ your homework?""",do,Fill in the Blank,No options
"Complete the question tag: ""He can't swim, ________ he?""",can,Fill in the Blank,No options
"Fill in the blank with the correct form of ""study"": ""She ________ English for ten years before she moved to New York.""",had studied,Fill in the Blank,No options
"Complete the sentence: ""The older I get, ________ wiser I become.""",the,Fill in the Blank,No options
"Write the comparative form of ""happy"".",happier,Fill in the Blank,No options
"Fill in the blank: ""We arrived ________ the airport at 6 PM.""",at,Fill in the Blank,No options
"Complete the sentence: ""I don't know ________ he will come or not.""",whether,Fill in the Blank,No options
"Rewrite the sentence using a passive structure: ""They are painting the house.""",The house is being painted.,Short Answer,No options
"What is the difference between ""its"" and ""it's""?","""Its"" is a possessive determiner (belonging to it), while ""it's"" is a contraction of ""it is"" or ""it has"".",Short Answer,No options
"Correct the error in this sentence: ""I look forward to hear from you.""",I look forward to hearing from you.,Short Answer,No options
"Change this sentence into a question: ""He lives in London.""",Does he live in London?,Short Answer,No options
"What is the superlative form of the adjective ""far""?",farthest / furthest,Short Answer,No options
"Combine the sentences using ""so... that..."": ""The coffee was hot. I couldn't drink it.""",The coffee was so hot that I couldn't drink it.,Short Answer,No options
"Rewrite using a conditional sentence: ""I didn't study, so I failed the test.""","If I had studied, I wouldn't have failed the test.",Short Answer,No options
"What is the plural form of ""criterion""?",criteria,Short Answer,No options
Change the following into direct speech: She said that she was learning English.,"She said, ""I am learning English.""",Short Answer,No options
"Explain when to use ""who"" vs ""whom"".","""Who"" is used as the subject of a verb, while ""whom"" is used as the object of a verb or preposition.",Short Answer,No options
